$,_ft,settlementdate,v#
QLD1,Gas,2021-09-22 13:40:00,304.209846
QLD1,Gas,2021-09-22 13:45:00,311.59031000000004
QLD1,Gas,2021-09-22 13:50:00,311.00857199999996
QLD1,Gas,2021-09-22 13:55:00,311.557587
QLD1,Gas,2021-09-22 14:00:00,308.18859199999997
QLD1,Gas,2021-09-22 14:05:00,311.03533699999997
QLD1,Gas,2021-09-22 14:10:00,306.74285199999997
QLD1,Gas,2021-09-22 14:15:00,304.344292
QLD1,Gas,2021-09-22 14:20:00,311.38746
QLD1,Gas,2021-09-22 14:25:00,307.60967199999993
QLD1,Gas,2021-09-22 14:30:00,306.063353
QLD1,Gas,2021-09-22 14:35:00,310.403925
QLD1,Gas,2021-09-22 14:40:00,304.02781
QLD1,Gas,2021-09-22 14:45:00,308.459534
QLD1,Gas,2021-09-22 14:50:00,309.90565
QLD1,Gas,2021-09-22 14:55:00,308.163498
QLD1,Gas,2021-09-22 15:00:00,309.753115
QLD1,Hydro,2021-09-22 12:00:00,53.795
QLD1,Hydro,2021-09-22 12:05:00,54.059999999999995
QLD1,Hydro,2021-09-22 12:10:00,53.915000000000006
QLD1,Hydro,2021-09-22 12:15:00,53.962500000000006
QLD1,Hydro,2021-09-22 12:20:00,53.9775
QLD1,Hydro,2021-09-22 12:25:00,54.1575
QLD1,Hydro,2021-09-22 12:30:00,53.8875
QLD1,Hydro,2021-09-22 12:35:00,54.112500000000004
QLD1,Hydro,2021-09-22 12:40:00,54.19
QLD1,Hydro,2021-09-22 12:45:00,54.275000000000006
QLD1,Hydro,2021-09-22 12:50:00,54.2325
QLD1,Hydro,2021-09-22 12:55:00,54.25750000000001
QLD1,Hydro,2021-09-22 13:00:00,53.92
QLD1,Hydro,2021-09-22 13:05:00,54.0975
QLD1,Hydro,2021-09-22 13:10:00,54.235
QLD1,Hydro,2021-09-22 13:15:00,54.407500000000006
QLD1,Hydro,2021-09-22 13:20:00,54.155
QLD1,Hydro,2021-09-22 13:25:00,54.065
QLD1,Hydro,2021-09-22 13:30:00,54.33
QLD1,Hydro,2021-09-22 13:35:00,54.2775
QLD1,Hydro,2021-09-22 13:40:00,54.059999999999995
QLD1,Hydro,2021-09-22 13:45:00,54.2225
QLD1,Hydro,2021-09-22 13:50:00,59.4275
QLD1,Hydro,2021-09-22 13:55:00,59.28249999999999
QLD1,Hydro,2021-09-22 14:00:00,59.54
QLD1,Hydro,2021-09-22 14:05:00,59.745000000000005
QLD1,Hydro,2021-09-22 14:10:00,69.0675
QLD1,Hydro,2021-09-22 14:15:00,68.955
QLD1,Hydro,2021-09-22 14:20:00,69.1575
QLD1,Hydro,2021-09-22 14:25:00,69.0125
QLD1,Hydro,2021-09-22 14:30:00,75.905
QLD1,Hydro,2021-09-22 14:35:00,69.1575
QLD1,Hydro,2021-09-22 14:40:00,79.52
QLD1,Hydro,2021-09-22 14:45:00,79.425
QLD1,Hydro,2021-09-22 14:50:00,79.64000000000001
QLD1,Hydro,2021-09-22 14:55:00,110.835
QLD1,Hydro,2021-09-22 15:00:00,111.63
QLD1,Hydro Storage,2021-09-22 12:00:00,-237.03
QLD1,Hydro Storage,2021-09-22 12:05:00,-237.11
QLD1,Hydro Storage,2021-09-22 12:10:00,-236.95
QLD1,Hydro Storage,2021-09-22 12:15:00,-237.45999
QLD1,Hydro Storage,2021-09-22 12:20:00,-238.47
QLD1,Hydro Storage,2021-09-22 12:25:00,-238.03999
QLD1,Hydro Storage,2021-09-22 12:30:00,-238.09999
QLD1,Hydro Storage,2021-09-22 12:35:00,-237.95
QLD1,Hydro Storage,2021-09-22 12:40:00,-238.12
QLD1,Hydro Storage,2021-09-22 12:45:00,-237.11
QLD1,Hydro Storage,2021-09-22 12:50:00,-236.98999
QLD1,Hydro Storage,2021-09-22 12:55:00,-236.73999
QLD1,Hydro Storage,2021-09-22 13:00:00,-237.81
QLD1,Hydro Storage,2021-09-22 13:05:00,-236.5
QLD1,Hydro Storage,2021-09-22 13:10:00,-237.73999
QLD1,Hydro Storage,2021-09-22 13:15:00,-236.7
QLD1,Hydro Storage,2021-09-22 13:20:00,-236.95
QLD1,Hydro Storage,2021-09-22 13:25:00,-236.95
QLD1,Hydro Storage,2021-09-22 13:30:00,-236.75
QLD1,Hydro Storage,2021-09-22 13:35:00,-236.47
QLD1,Hydro Storage,2021-09-22 13:40:00,-237.20999
QLD1,Hydro Storage,2021-09-22 13:45:00,-236.47
QLD1,Hydro Storage,2021-09-22 13:50:00,-237.67999
QLD1,Hydro Storage,2021-09-22 13:55:00,-236.59
QLD1,Hydro Storage,2021-09-22 14:00:00,-236.20999
QLD1,Hydro Storage,2021-09-22 14:05:00,-235.86
QLD1,Hydro Storage,2021-09-22 14:10:00,-236.25
QLD1,Hydro Storage,2021-09-22 14:15:00,-236.53999
QLD1,Hydro Storage,2021-09-22 14:20:00,-236.06
QLD1,Hydro Storage,2021-09-22 14:25:00,-236.37999
QLD1,Hydro Storage,2021-09-22 14:30:00,-237.00999
QLD1,Hydro Storage,2021-09-22 14:35:00,-235.89
QLD1,Hydro Storage,2021-09-22 14:40:00,-237.29999
QLD1,Hydro Storage,2021-09-22 14:45:00,-236.39999
QLD1,Hydro Storage,2021-09-22 14:50:00,-236.20999
QLD1,Hydro Storage,2021-09-22 14:55:00,-236.17
QLD1,Hydro Storage,2021-09-22 15:00:00,-235.39999
QLD1,Liquid Fuel,2021-09-22 12:00:00,0
QLD1,Liquid Fuel,2021-09-22 12:05:00,0
QLD1,Liquid Fuel,2021-09-22 12:10:00,0
QLD1,Liquid Fuel,2021-09-22 12:15:00,0
QLD1,Liquid Fuel,2021-09-22 12:20:00,0
QLD1,Liquid Fuel,2021-09-22 12:25:00,0
QLD1,Liquid Fuel,2021-09-22 12:30:00,0
QLD1,Liquid Fuel,2021-09-22 12:35:00,0
QLD1,Liquid Fuel,2021-09-22 12:40:00,0
QLD1,Liquid Fuel,2021-09-22 12:45:00,0
QLD1,Liquid Fuel,2021-09-22 12:50:00,0
QLD1,Liquid Fuel,2021-09-22 12:55:00,0
QLD1,Liquid Fuel,2021-09-22 13:00:00,0
QLD1,Liquid Fuel,2021-09-22 13:05:00,0
QLD1,Liquid Fuel,2021-09-22 13:10:00,0
QLD1,Liquid Fuel,2021-09-22 13:15:00,0
QLD1,Liquid Fuel,2021-09-22 13:20:00,0
QLD1,Liquid Fuel,2021-09-22 13:25:00,0
QLD1,Liquid Fuel,2021-09-22 13:30:00,0
QLD1,Liquid Fuel,2021-09-22 13:35:00,0
QLD1,Liquid Fuel,2021-09-22 13:40:00,0
QLD1,Liquid Fuel,2021-09-22 13:45:00,0
QLD1,Liquid Fuel,2021-09-22 13:50:00,0
